xP, yP, zP, xR, yR, zR
19.50275,0.49,33.69073,0,217.9601,0
19.41662,0.49,33.51038,0,218.9636,0
19.32514,0.4899999,33.32482,0,219.967,0
19.22821,0.4899999,33.13415,0,220.9705,0
19.1257,0.4899999,32.93848,0,221.9739,0
19.01752,0.49,32.73792,0,222.9773,0
18.90355,0.4899999,32.53258,0,223.9807,0
18.78369,0.49,32.32258,0,224.9841,0
18.65783,0.4899999,32.10803,0,225.9874,0
18.52588,0.49,31.88905,0,226.9907,0
18.38773,0.49,31.66577,0,227.9939,0
18.24328,0.49,31.43831,0,228.9971,0
18.09245,0.49,31.20679,0,230.0003,0
17.93514,0.49,30.97134,0,231.0035,0
17.77125,0.4899999,30.73209,0,231.0066,0
17.6007,0.4899999,30.48918,0,231.0098,0
17.42353,0.4899999,30.24257,0,231.013,0
17.24191,0.49,29.99521,0,231.0163,0
17.05781,0.4899999,29.74964,0,231.0197,0
16.87135,0.4899999,29.50583,0,231.0231,0
16.68262,0.49,29.26373,0,231.0265,0
16.49174,0.49,29.02331,0,231.03,0
16.29878,0.4899999,28.7845,0,231.0335,0
16.10386,0.49,28.54728,0,231.0371,0
15.90704,0.49,28.3116,0,231.0407,0
15.70842,0.49,28.07742,0,231.0443,0
15.50807,0.49,27.84469,0,231.048,0
15.30607,0.4900001,27.61337,0,231.0517,0
15.10249,0.49,27.38342,0,231.0554,0
14.8974,0.4899999,27.1548,0,231.0591,0
14.69086,0.4899999,26.92746,0,231.0629,0
14.48294,0.4899999,26.70138,0,231.0666,0
14.2737,0.4899999,26.47651,0,231.0704,0
14.0632,0.49,26.2528,0,231.0742,0
13.85148,0.49,26.03024,0,231.078,0
13.6386,0.49,25.80877,0,231.0818,0
13.42461,0.49,25.58836,0,231.0856,0
13.20955,0.49,25.36898,0,231.0894,0
12.99348,0.4899999,25.15059,0,231.0933,0
12.77644,0.49,24.93316,0,231.0971,0
12.55846,0.4899999,24.71667,0,230.101,0
12.33958,0.4899999,24.50106,0,229.1049,0
12.11998,0.4899999,24.28617,0,228.1088,0
11.89983,0.49,24.07181,0,227.1127,0
11.67931,0.49,23.85782,0,226.1166,0
11.45857,0.49,23.64405,0,225.1205,0
11.23777,0.49,23.43033,0,224.1243,0
11.01706,0.4899999,23.21652,0,223.1282,0
10.79659,0.4899999,23.00247,0,222.132,0
10.57648,0.4899999,22.78806,0,221.1358,0
10.35688,0.4899999,22.57314,0,220.1396,0
10.13792,0.4899999,22.35759,0,219.1434,0
9.919707,0.4899999,22.1413,0,218.1471,0
9.702376,0.4899999,21.92415,0,217.1508,0
9.486041,0.4899999,21.70603,0,216.1545,0
9.270815,0.4899999,21.48684,0,215.1581,0
9.056809,0.49,21.26649,0,214.1618,0
8.844132,0.49,21.04489,0,213.1654,0
8.63289,0.49,20.82194,0,212.1691,0
8.494003,0.5780008,20.67593,0,211.2545,0
8.307295,0.595601,20.45919,0,210.6533,0
8.107421,0.5991211,20.23162,0,209.7747,0
7.906248,0.599825,20.00072,0,208.8144,0
7.706129,0.5999658,19.76804,0,207.8169,0
7.507741,0.5999939,19.53374,0,206.8151,0
7.311287,0.5999995,19.29781,0,205.8126,0
7.114902,0.5973909,19.05775,0,204.8137,0
6.920263,0.5917139,18.81546,0,203.8144,0
6.733726,0.5909402,18.57935,0,202.8195,0
6.551819,0.5909827,18.34253,0,201.8265,0
6.372226,0.5887052,18.10023,0,200.8295,0
6.198879,0.5886126,17.85959,0,199.835,0
6.031878,0.5911267,17.61822,0,198.8426,0
5.866327,0.5916623,17.36952,0,197.8475,0
5.705804,0.5940849,17.1202,0,197.8495,0
5.542952,0.5901649,16.86029,0,197.8499,0
5.385142,0.5875644,16.60374,0,197.85,0
5.232341,0.5873744,16.35065,0,197.8411,0
5.086023,0.5903035,16.09782,0,197.6243,0
4.929802,0.5789593,15.82819,0,197.6474,0
4.775852,0.5641456,15.55739,0,197.6653,0
4.628926,0.551734,15.28988,0,197.5244,0
4.48414,0.539871,15.01926,0,197.3058,0
4.343656,0.5283837,14.74594,0,197.1164,0
4.206917,0.5172787,14.4707,0,196.9578,0
4.076421,0.5155532,14.20481,0,196.9693,0
3.942611,0.5098981,13.92734,0,196.9718,0
3.809566,0.5019798,13.64734,0,196.9732,0
3.682256,0.5003958,13.37594,0,196.9826,0
3.554094,0.500079,13.09869,0,196.9874,0
3.426768,0.5000157,12.81947,0,196.9914,0
3.300725,0.500003,12.53939,0,196.9951,0
3.175992,0.5000005,12.25867,0,196.9988,0
3.052534,0.4999999,11.97736,0,196.0025,0
2.93031,0.5,11.69551,0,195.0062,0
2.809476,0.5,11.41308,0,194.0099,0
2.690169,0.5,11.13002,0,193.0135,0
2.572526,0.5,10.84629,0,192.0172,0
2.456675,0.4999999,10.56184,0,191.0208,0
2.342743,0.4999999,10.27665,0,190.0245,0
2.230852,0.4999999,9.990666,0,189.0281,0
2.121119,0.5,9.703876,0,188.0318,0
2.013658,0.5,9.416252,0,188.0355,0
1.908577,0.4999999,9.127774,0,188.0391,0
1.805776,0.4999999,8.838455,0,188.0428,0
1.705174,0.5,8.548344,0,188.0464,0
1.606886,0.5,8.257422,0,188.0501,0
1.510515,0.4999999,7.965843,0,188.0537,0
1.416112,0.5,7.673604,0,188.0574,0
1.323606,0.4999999,7.380746,0,188.061,0
1.232927,0.4999998,7.087303,0,188.0647,0
1.144009,0.4999999,6.793309,0,188.0684,0
1.056785,0.4999999,6.498797,0,188.072,0
0.9712173,0.5,6.203789,0,188.0689,0
0.8872182,0.5,5.908321,0,188.0661,0
0.8047514,0.5,5.612413,0,188.0642,0
0.7239357,0.4999999,5.316042,0,188.068,0
0.6445953,0.4999999,5.019264,0,188.0718,0
0.5666752,0.4999999,4.722103,0,188.0757,0
0.4901219,0.4999999,4.42458,0,188.0795,0
0.4148838,0.4999999,4.126716,0,188.0833,0
0.3409117,0.5,3.828528,0,188.0795,0
0.2681581,0.5,3.530036,0,188.0756,0
0.1965784,0.5,3.231256,0,188.0717,0
0.1261294,0.5,2.932202,0,188.0679,0
0.05676914,0.4999999,2.63289,0,188.064,0
-0.01176433,0.4999999,2.333384,0,188.0678,0
-0.0793633,0.4999999,2.033662,0,188.0715,0
-0.1460642,0.5,1.733735,0,188.0753,0
-0.2116785,0.5,1.433567,0,188.0792,0
